         0000,          0,        0
        10000,        100,        0
        15000,     500000,        0
        15200,        100,        0
        20000,        500,        0
        25000,     500000,        0
        25200,        500,        0
        30000,       1000,        0
        35000,     500000,        0
        35200,       1000,        0
        40000,       5000,        0
        50000,          0,        0
        60000,      -5000,        0
        70000,      -5000,      500
        80000,          0,        0
        85000,     500000,        0
        85200,          0,        0
        90000,          0,      500
       100000,       5000,        0
       105000,     500000,        0
       105200,       5000,        0
       110000,       5000,     -500
       120000,          0,        0
       130000,     500000,        0
       130200,          0,        0
       140000,       1000,        0
       150000,     500000,        0
       150200,       1000,        0
       160000,       1000,     -100
       200000,      -3000,        0
       205000,     500000,        0
       205200,      -3000,        0
       210000,      -3000,      100
       230000,      -1000,        0
       240000,     500000,        0
       240200,      -1000,        0
