         0000,          0,        0
        10000,        100,        0
        20000,        500,        0
        30000,       1000,        0
        40000,       5000,        0
        50000,          0,        0
        60000,      -5000,        0
        70000,      -5000,      500
        80000,          0,        0
        90000,          0,      500
       100000,       5000,        0
       110000,       5000,     -500
       120000,          0,        0
       140000,       1000,        0
       160000,       1000,     -100
       200000,      -3000,        0
       210000,      -3000,      100
       230000,      -1000,        0
       240000,      -1000,        0
